Season,Episode,Character,cleanline
10,1,Stan,you guys you guys chef is going away 
10,1,Kyle,going away for how long
10,1,Stan,forever
10,1,Chef,im sorry boys
10,1,Stan,chef said hes been bored so he joining a group called the super adventure club 
10,1,Chef,wow
10,1,Chef,whats the meaning of life why are we here
10,1,Cartman,im gonna miss him  im gonna miss chef and iand i dont know how to tell him 
10,1,Stan,dude how are we gonna go on chef was our fuhfffriend 
10,1,Mr. Mackey,so long
10,1,Randy,goodbye chef have a great time with the super adventure club
10,1,Chef,goodbye 
10,1,Kyle,draw two card fatass
10,1,Cartman,reverse to you jew 
10,1,Stan,ill get it 
10,1,Chef,hello there children
10,1,Stan,hes back
10,1,Kyle,yeah
10,1,Cartman,all right 
10,1,Kyle,chef i cant believe youre back
10,1,Chef,well its true
10,1,Stan,but are you back for good
10,1,Chef,thats right
10,1,Randy,oh finally 
10,1,Chef,yeah
10,1,Chef,nnono
10,1,Randy,ohhh so have you decided you can still belong to the super adventure club but live here in south park again
10,1,Chef,thats right
10,1,Randy,well it seems like the super adventure club was just what you needed chef you must be feeling very happy that you found a club to belong to with new friends but that you can also live here in south park with all your old friends whom you care for deeply  right
10,1,Chef,thats right randy 
10,1,Chef,thank you jimbo
10,1,Randy,well come on everybody im sure chef would like a little time to get moved back in
10,1,Chef,thats right thank you goodbye everybody
10,1,Kyle,well i guess well see you in school tomorrow chef
10,1,Chef,you bet goodbye children 
10,1,Stan,right uh see ya
10,1,Cartman,uh guys did chef seem a little uh trippy to you
10,1,Stan,well look he said hes happier now maybe he just needs to rest up a little
10,1,Kyle,yeah im sure whatever that super adventure club does is pretty tiring
10,1,Stan,yeah but whatever im just glad hes back for good
10,1,Kenny,yeah me too
10,1,Cartman,oh boy oh boy i cant wait to have chefs lunch food again
10,1,Kyle,yeah i hope he makes his salisbury steak with buttered noodles 
10,1,Stan,what
10,1,Kyle,like what
10,1,Stan,what
10,1,Kyle,weirdo 
10,1,Chef,hello there children
10,1,Chef,hows it goin
10,1,Kyle,good
10,1,Chef,well how about i meet you boys after work and we make love
10,1,Cartman,excuse me
10,1,Chef,come on children youre my sexual fantasy lets all make sweet love
10,1,Kyle,chef aare you okay
10,1,Chef,i want to stick my balls inside your rectum kyle
10,1,Stan,dude what are you saying
10,1,Chef,im gonna make love to your asshole children
10,1,Stan,what
10,1,Kyle,this doesnt make any sense
10,1,Stan,no hes not
10,1,Stan,no hes not
10,1,Butters,whats a pedophile
10,1,Stan,no
10,1,Butters,my uncle bud did that to me once 
10,1,Kyle,goddammit chef isnt like that something funny is going on around here
10,1,Chef,hello there children
10,1,Kyle,chef the police are asking questions about you
10,1,Chef,oh really well lets all go home and make love
10,1,Stan,no chef we dont wanna make love to you
10,1,Chef,kenny how would you like to sodomize my black ass
10,1,Kyle,chef chef you need to get out of here before you get arrested all right
10,1,Chef,i specializes in your asshole kyle 
10,1,Cartman,man i cant believe all this time chef just wanted us for sex
10,1,Kyle,he didnt want us for sex fatass something is making him say those things
10,1,Kenny,like what
10,1,Kyle,something must have happened to chef while he was gone maybe he hit his head or or got stuck in some quantum time vortex
10,1,Stan,well look he spent the last three months with that adventurers club maybe they know what happened to him
10,1,Kenny,yeah i think
10,1,Cartman,yeah
10,1,Kyle,all right come on guys
10,1,Cartman,hey you guys you know what they call a jewish womans boobs jewbs 
10,1,Kyle,ahh hi can we speak to the head guy or something
10,1,Kyle,uh hi our friend joined your club a while back and now he wants to molest kids 
10,1,Cartman,huh
10,1,Kyle,well we thought you went exploring and like hunting and stuff
10,1,Kyle,dude
10,1,Stan,no
10,1,Stan,no 
10,1,Kyle,dude what are you doing
10,1,Kyle,just what the hell is that thing
10,1,Kyle,ha i knew it
10,1,Stan,knew what
10,1,Kyle,the reason chef has been saying those terrible things about us is because hes been brainwashed by this fruity little club
10,1,Cartman,oh son of a bitch
10,1,Chef,come on children lets all go home and make love
10,1,Stan,you need to see a psychiatrist chef its for your own good
10,1,Chef,i just like to make love up your butt
10,1,Kyle,all right come on 
10,1,Kyle,hi uh our friend has been brainwashed by some fruity little club
10,1,Stan,yeah he joined the super adventure club and they convinced him having sex with children was okay with a little thing that goes whrrrrrr
10,1,Stan,no thats the adventure club the super adventure club has sex with children
10,1,Chef,doctor do you have children
10,1,Chef,have you all been sodomizing your children too
10,1,Cartman,no chef has always been supercool
10,1,Chef,im gonna make love to the children
10,1,Cartman,so what can we do
10,1,Kyle,but we dont have years if chef keeps this up hes gonna go to jail forever
10,1,Stan,having sex with women
10,1,Chef,aw come on children lets go home
10,1,Stan,this isnt working
10,1,Kyle,no thanks were trying to unbrainwash our friend
10,1,Cartman,come on bitch dance
10,1,Cartman,bitch ill twist your nuts off
10,1,Stan,come on guys we might as well go 
10,1,Chef,goddamn
10,1,Stan,chef were leaving
10,1,Chef,wait a minute
10,1,Stan,hes remembering
10,1,Chef,children what have i done
10,1,Cartman,its okay chef go on remember
10,1,Chef,im goinna im gonna
10,1,Kyle,come on chef you can do it
10,1,Chef,im gonna make love to you woman gonna lay you down by the fire
10,1,Kenny,chef
10,1,Chef,hey children everybody im back  ow
10,1,Chef,oh 
10,1,Stan,wheres chef what have you done with him
10,1,Cartman,look if you wanna go around the world molesting kids thats totally fine but why do you need chef
10,1,Stan,oh jesus here we go
10,1,Stan,we dont wanna hear it
10,1,Stan,immortal
10,1,Kyle,do you realize how retarded that sounds
10,1,Stan,yeah its way way more retarded
10,1,Stan,were not leaving without chef
10,1,Kyle,were not going anywhere without chef
10,1,Kyle,no hey
10,1,Stan,no you dont understand theyve got our friend in the deprivation room
10,1,Kyle,sorry dude but this fruity little club isnt taking our friend
10,1,Kyle,chef come on
10,1,Chef,children
10,1,Cartman,kenny spin blossom nut squash
10,1,Kenny,yeeeeehah 
10,1,Stan,come on chef
10,1,Chef,i cant break these locks 
10,1,Kyle,here 
10,1,Cartman,run chef
10,1,Kyle,get outside 
10,1,Chef,children run 
10,1,Stan,we made it
10,1,Stan,chef come on
10,1,Kyle,yeah he wanted adventure not a bunch of ridiculous bullcrap right chef  chef
10,1,Stan,chef we love you
10,1,Chef,im sorry children 
10,1,Kyle,no chef theyve filled your head with lies cant you see that
10,1,Chef,get the hell out of here children
10,1,Chef,ack  ow oh ah oh dammit  ah awww 
10,1,Stan,no 
10,1,Cartman,a mountain lion 
10,1,Chef,ah
10,1,Kyle,chef 
10,1,Cartman,a grizzly bear
10,1,Stan,oh my god they killed chef
10,1,Kyle,you bastards you bastards
10,1,Cartman,maybe maybe hes still okay  no really they say the last thing you do before you die is crap your
10,1,Chef,pooot 
10,1,Cartman,oh never mind
10,1,Stan,come on lets go 
10,1,Kyle,were all here today because chef has been such an important part of our lives a lot of us dont agree with the choices chef has made in the past few days  some of us feel hurt and confused that he seemed to turn his back on us  but we cant let the events of the last week take away the memories of how much chef made us smile  im gonna remember chef as the jolly old guy who always broke into song  im gonna remember chef as the guy who gave us advice to live by  so you see we shouldnt be mad at chef for leaving us we should be mad at that little fruity club for scrambling his brains
10,1,Randy,yeah
10,1,Mr. Mackey,hes right 
10,1,Kyle,and in the end i know that somewhere out there theres the good part of chef thats still alive in us all 
10,2,Kyle,dad can we go home all you ever do since you got this car is drive around and show it off 
10,2,Kyle,dad i think ike is starving to death 
10,2,Kyle,what
10,2,Kyle,dad can we go home please
10,2,Kyle,but dad i want
10,2,Stan,oh hey kyle
10,2,Kyle,aw hey dude what are you doing here
10,2,Stan,helping my dad pick out some cool new power tools what are you doing
10,2,Kyle,helping my dad give people fake tickets 
10,2,Randy,whats this 
10,2,Randy,a ticket failure to care about the environment oh goddammit did you do this gerald
10,2,Randy,you got some nerve you know that where do you come off ticketing people
10,2,Randy,i know its not a real ticket
10,2,Kyle,dad lets just go
10,2,Randy,the problem gerald is that ever since you got a hybrid car youve gotten so smug that you love the smell of your own farts
10,2,Randy,and that too stop talking with your eyes closed thats what smug people do
10,2,Randy,there like that stop that
10,2,Kyle,dad  dad ike and i have been talking and well we feel that your new car is changing you
10,2,Kyle,were thinking that a lot of people in town starting too 
10,2,Kyle,aare starting to take offense at your actions we feel like youre starting to becomehmm 
10,2,Kyle,starstarting to become alienated from some of your friends
10,2,Kyle,you do
10,2,Kyle,righ  okay good
10,2,Kyle,what
10,2,Stan,yeah 
10,2,Butters,uh hay stan uh you should come on over uh theyre havin a goinaway party for kyle
10,2,Stan,going away party what do you mean
10,2,Butters,well dont you know kyles movin away
10,2,Stan,moving away kyle cant move away
10,2,Butters,well he is
